Date,Open,High,Low,Close,Adj Close,Volume
2022-08-26,19.250000,19.330000,15.950000,15.980000,15.927862,84676900
2022-08-29,15.480000,16.049999,14.950000,15.050000,15.000897,61062700
2022-08-30,15.500000,15.570000,13.960000,14.470000,14.422790,77063100
2022-08-31,14.690000,14.700000,13.660000,14.040000,13.994192,86870500
2022-09-01,13.030000,13.260000,11.970000,13.220000,13.176868,113345600
2022-09-02,13.840000,14.140000,12.630000,12.860000,12.818042,100737200
2022-09-06,12.910000,13.030000,12.070000,12.420000,12.379478,79919100
2022-09-07,12.420000,13.320000,12.230000,12.990000,12.947618,79632700
2022-09-08,12.640000,13.800000,12.370000,13.650000,13.605465,103258300
2022-09-09,14.260000,14.850000,14.190000,14.650000,14.602202,81908900
2022-09-12,14.830000,15.050000,14.300000,14.780000,14.731778,67153300
2022-09-13,13.150000,13.490000,11.950000,12.090000,12.050555,85975600
2022-09-14,12.280000,12.740000,11.940000,12.460000,12.419348,65846900
2022-09-15,12.230000,12.670000,11.590000,11.910000,11.871141,94630600
2022-09-16,11.470000,12.100000,11.180000,12.060000,12.020653,87622100
2022-09-19,11.620000,12.440000,11.570000,12.260000,12.220000,75532200
2022-09-20,11.850000,12.040000,11.430000,11.700000,11.700000,70577400
2022-09-21,11.760000,12.920000,11.380000,11.400000,11.400000,125021300
2022-09-22,11.170000,11.320000,10.250000,10.510000,10.510000,112096100
2022-09-23,10.070000,10.140000,9.450000,10.030000,10.030000,120047000
2022-09-26,9.910000,10.360000,9.500000,9.550000,9.550000,96464800
2022-09-27,10.040000,10.280000,9.390000,9.810000,9.810000,115839400
2022-09-28,9.570000,10.350000,9.450000,10.170000,10.170000,119412700
2022-09-29,9.700000,9.740000,8.800000,9.290000,9.290000,128122600
2022-09-30,8.900000,9.610000,8.740000,8.860000,8.860000,109534300
2022-10-03,9.090000,10.000000,8.880000,9.700000,9.700000,126786100
2022-10-04,10.580000,11.100000,10.540000,11.040000,11.040000,114533100
2022-10-05,10.530000,11.660000,10.210000,11.420000,11.420000,110030200
2022-10-06,11.290000,11.920000,11.050000,11.190000,11.190000,117138000
2022-10-07,10.180000,10.280000,9.000000,9.210000,9.210000,134873300
2022-10-10,9.070000,9.090000,7.860000,8.280000,8.280000,163448700
2022-10-11,7.810000,8.020000,7.200000,7.570000,7.570000,186475200
2022-10-12,7.490000,7.620000,7.230000,7.340000,7.340000,110516500
2022-10-13,6.420000,8.360000,6.210000,8.000000,8.000000,284532700
2022-10-14,8.260000,8.270000,6.870000,6.930000,6.930000,177216100
2022-10-17,7.470000,7.670000,7.200000,7.330000,7.330000,113321500
2022-10-18,8.040000,8.210000,7.040000,7.400000,7.400000,185506400
2022-10-19,7.270000,7.800000,7.200000,7.570000,7.570000,134272400
2022-10-20,7.700000,8.420000,7.590000,7.700000,7.700000,170614600
2022-10-21,7.650000,8.640000,7.550000,8.580000,8.580000,178616600
2022-10-24,8.640000,8.810000,8.080000,8.680000,8.680000,147205700
2022-10-25,8.800000,9.470000,8.750000,9.260000,9.260000,127146900
2022-10-26,8.740000,9.670000,8.550000,9.010000,9.010000,143571600
2022-10-27,9.160000,9.440000,8.480000,8.520000,8.520000,129662300
2022-10-28,8.560000,9.560000,8.490000,9.500000,9.500000,129291600
2022-10-31,9.300000,9.350000,8.750000,8.920000,8.920000,118351000
2022-11-01,9.410000,9.520000,8.940000,9.100000,9.100000,108638200
2022-11-02,9.270000,9.770000,8.200000,8.240000,8.240000,174985600
2022-11-03,7.780000,8.290000,7.530000,7.890000,7.890000,135668700
2022-11-04,8.720000,9.060000,8.420000,8.990000,8.990000,172630800
2022-11-07,9.270000,9.690000,8.880000,9.590000,9.590000,105846700
2022-11-08,10.110000,10.560000,9.610000,10.170000,10.170000,147373300
2022-11-09,9.740000,9.820000,9.180000,9.240000,9.240000,107444900
2022-11-10,10.800000,12.170000,10.560000,12.080000,12.080000,196270300
2022-11-11,12.280000,13.410000,11.830000,13.220000,13.220000,165633500
2022-11-14,12.990000,13.510000,12.730000,12.770000,12.770000,108739600
2022-11-15,14.340000,14.440000,13.310000,13.870000,13.870000,159797700
2022-11-16,12.930000,12.990000,11.870000,12.130000,12.130000,112310400
2022-11-17,11.340000,12.580000,11.310000,12.370000,12.370000,128795400
2022-11-18,12.990000,13.030000,12.070000,12.490000,12.490000,116752000
2022-11-21,12.070000,12.200000,11.740000,11.890000,11.890000,84238200
2022-11-22,12.140000,12.940000,11.850000,12.900000,12.900000,86949600
2022-11-23,12.900000,13.750000,12.840000,13.320000,13.320000,113790600
2022-11-25,13.130000,13.260000,12.830000,12.860000,12.860000,41754500
